text,hashtags,created_at,reference_type,lang,users.username,users.following,users.tweets,users.location,users.verified,metrics.retweets,metrics.replies,metrics.quotes,metrics.impressions,entities.mentions,entities.url title,places.name,places.place_type,places.country,places.country_code
honorer lembaga riset kena kepala brin tegas sesuai atur,['temponasional'],2022-01-06 22:49:32,,in,tempodotco,28.0,1163490.0,Indonesia,False,2,3,0,0,[],[],,,,
uang rencana usaha investasi proyek hotel haji umrah besut jaman nurchotib mansur alias ustaz yusuf mansur kawan,['jernihkanharapan'],2022-01-07 03:50:00,,in,kompascom,30.0,2312481.0,Jakarta,False,3,0,0,0,[],[],,,,
hak kerja diphk akibat pasuk usia pensiun,['top100klinik2021'],2022-01-07 05:01:00,,in,klinikhukum,198.0,114488.0,"Jakarta Selatan, DKI Jakarta",False,0,0,0,0,[],[],,,,
duh paro duduk surabaya masuk kategori masyarakat hasil rendah,"['penduduksurabaya', 'phk', 'surabaya', 'updatesurabaya']",2022-01-07 09:12:24,,in,lensaindonesia,30.0,72011.0,Indonesia,False,0,0,0,0,[],[],,,,
top dunia jokowi telepon hun sen as cemas cina karyawan sineplex,['tempodunia'],2022-01-07 23:44:04,,in,tempodotco,28.0,1163490.0,Indonesia,False,0,0,0,0,[],[],,,,
diphk salah berat hukum,['top100klinik2021'],2022-01-08 05:01:00,,in,klinikhukum,198.0,114488.0,"Jakarta Selatan, DKI Jakarta",False,0,0,0,0,[],[],,,,
fixes rendah harkat martabat bangsa indonesia lkkn panggil ybs cuit bau sara,['tangkapfahmiherbal'],2022-01-08 13:49:05,['replied_to'],in,Bremboh2,768.0,940.0,Cianjur,False,5,0,0,0,"['13_trio', 'dennysiregar7', 'fahmiherbal', 'divhumas_polri']",[],,,,
mohon,['tangkapfahmiherbal'],2022-01-08 16:33:20,['replied_to'],in,godham5,11917.0,39130.0,"Bandung, Jawa Barat",False,0,0,0,0,"['dhab_hunter', 'anjasmara_ferry', 'listyosigitp', 'divhumas_polri', 'listyosigitp', 'yanmas_reskrim', 'ccicpolri', 'bssn_ri']",[],,,,
bukti elektronik buat alat bukti,"['tangkapfahmiherbal', 'tangkapfahmiherbal']",2022-01-08 17:40:09,['replied_to'],in,jabbar2159,723.0,900.0,,False,0,0,0,0,"['firzahusainid', 'fahmiherbal', 'divhumas_polri', 'listyosigitp', 'yanmas_reskrim']",[],,,,
moga gercep,"['tangkapfahmiherbal', 'tangkapfahmiherbal']",2022-01-08 17:41:40,['replied_to'],in,jabbar2159,723.0,900.0,,False,1,0,0,0,"['belok_dong', 'divhumas_polri', 'divhumas_polri', 'yanmas_reskrim']",[],,,,
jaga harkat martabat bangsa,"['tangkapfahmiherbal', 'tangkapfahmiherbal']",2022-01-08 17:43:54,['replied_to'],in,jabbar2159,723.0,900.0,,False,0,0,0,0,"['nyaiibubu', 'divhumas_polri', 'yanmas_reskrim']",[],,,,
lilik herlina warga boyolali jawa korban duga wanprestasi yusuf mansur cerita habis uang dana milik rp juta investasi,"['videokompas', 'jernihkanharapan']",2022-01-09 01:51:18,,in,kompascom,30.0,2312481.0,Jakarta,False,1,0,0,0,[],[],,,,
hak karyawan diphk usaha pelit,['top100klinik2021'],2022-01-09 03:00:02,,in,klinikhukum,198.0,114488.0,"Jakarta Selatan, DKI Jakarta",False,0,0,0,0,[],[],,,,
aice buruh,['indonesiaboikotaice'],2022-01-09 05:10:44,,in,ANurhadi5,48.0,124.0,,False,0,0,1,0,[],[],,,,
buruh,['indonesiaboikotaice'],2022-01-09 05:14:13,,in,adilah_yayah,243.0,947.0,,False,0,0,1,0,[],[],,,,
indonesia butuh es krim aice kerja buruh hamil malam mem buruh,['indonesiaboikotaice'],2022-01-09 05:18:38,,in,fajarjunianto20,694.0,6003.0,,False,2,0,2,0,[],[],,,,
dar lawan buruh aice krim aice pudar lawan,['indonesiaboikotaice'],2022-01-09 05:24:54,,in,MuhamadKhusnan3,62.0,486.0,,False,1,0,1,0,[],[],,,,
hak buruh penuh beli es krim aice buruh tutup mata gugur alpen food industry aice duga buruh hamil kerja malam,"['boikoteskrimaice', 'indonesiaboikotaice']",2022-01-09 05:25:04,['quoted'],in,NtunNurhidayat1,0.0,4.0,,False,0,0,0,0,[],[],,,,
kerja buruh alpen food industry,['indonesiaboikotaice'],2022-01-09 06:27:39,,in,faris_hari,32.0,1902.0,,False,0,0,0,0,[],[],,,,
baik kerja buruh,['indonesiaboikotaice'],2022-01-09 06:52:42,,in,faris_hari,32.0,1902.0,,False,0,0,0,0,[],[],,,,
buruh hamil,['indonesiaboikotaice'],2022-01-09 06:53:24,,in,faris_hari,32.0,1902.0,,False,0,0,0,0,[],[],,,,
password duit libur negeri kena psbb kena hilang hasil kerja hari wajib jalan protokol sehat indah indonesia ku,['indonesia'],2022-01-09 12:43:23,,in,AK47official9,9.0,12.0,,False,0,0,0,0,[],[],,,,
buruh alpen food industri sepihat usaha mundur sedikit juang menegakakkan adil alpen food industri produksi ice cream aice patuh hukum indonesia,['indonesiaboikotaice'],2022-01-09 14:01:44,,in,Suprisp3,27.0,32.0,,False,0,0,0,0,[],[],,,,
hormat kapolri penuh adil anak bangsa cinta nkri tlhrendahkan harkat martabat bangsa indonesia,['tangkapfahmiherbal'],2022-01-09 15:56:06,['replied_to'],in,Bremboh2,768.0,940.0,Cianjur,False,0,0,0,0,"['chusnulch__', 'fahmiherbal', 'ccicpolri', 'listyosigitp', 'listyosigitp', 'divhumas_polri', 'divhumas_polri']",[],,,,
fiqi coba bangkit jual ikan hias pinggir jalan syukur terima bantu program kua contoh ekonomi umat video,['gerakancintazakat'],2022-01-09 17:09:38,,in,ZakatWakafToday,10.0,3601.0,Indonesia,False,0,0,0,0,[],[],,,,
nuwun sewukyai oknum turun sperti layak diam nkri sllbuat hoax danprovokasi umatkyai,"['tangkapfahmiherbal', 'tangkapfahmiherbal']",2022-01-09 17:19:56,['replied_to'],in,jabbar2159,723.0,900.0,,False,0,0,0,0,"['hmfaqiha', 'adi16343002', 'fahmiherbal', 'divhumas_polri', 'listyosigitp']",[],,,,
rendah harkat martabat bangsa spertinya,['tangkapfahmiherbal'],2022-01-09 17:29:23,['replied_to'],in,jabbar2159,723.0,900.0,,False,0,0,0,0,"['henrysubiakto', 'fahmiherbal', 'divhumas_polri']",[],,,,
layak ybs gaduh sadar sengaja,['tangkapfahmiherbal'],2022-01-09 17:50:47,['replied_to'],in,jabbar2159,723.0,900.0,,False,0,0,0,0,"['santorinissun', 'divhumas_polri', 'listyosigitp']",[],,,,
hak kerja kena undur,['top100klinik2021'],2022-01-10 06:40:00,,in,klinikhukum,198.0,114488.0,"Jakarta Selatan, DKI Jakarta",False,0,0,0,0,[],[],,,,
ingainga maaf khilaf teriak proses hukum jalan mk adil ygpihak masyarakat lkkn,['tangkapfahmiherbal'],2022-01-10 10:06:23,['replied_to'],in,PutraAn26054635,2586.0,3123.0,"Kota Bandung, Jawa Barat",False,0,0,0,0,"['billray2019', 'basuki_btp', 'divhumas_polri', 'listyosigitp']",[],,,,
tuju tegas cq tindak buat gaduh nkri,['tangkapfahmiherbal'],2022-01-10 10:16:46,,in,PutraAn26054635,2586.0,3123.0,"Kota Bandung, Jawa Barat",False,0,0,0,0,"['dr_moeldoko', 'kspgoid', 'kepolisian_ri', 'listyosigitp']",[],,,,
bantu butuh kerja biaya obat anak suami sakit kolesterol jual singkong thailand laku,['pecahtelursnack'],2022-01-10 15:38:04,,in,yulianto_zafran,38.0,26.0,"Depok, Indonesia",False,0,0,0,0,[],[],,,,
skema sangon ref vonis draft motor goal catat rumus hitung sangon karyawan,['mk'],2022-01-10 18:24:04,,in,PelancongTua,1351.0,19119.0,somewhere in G earth,False,0,0,0,0,"['officialmkri', 'mahkamahagung', 'komisiyudisial', 'kadin_indonesia', 'airlangga_hrt', 'dpr_ri']",[],,,,
kuasa hukum yusuf mansyur deddy dj lapor nilai giring opini klien bohong publik ada investasi bodong,['jernihkanharapan'],2022-01-11 00:46:00,,in,kompascom,30.0,2312481.0,Jakarta,False,0,3,0,0,[],[],,,,
usaha bimbing ajar karyawan gara gara tindak keras cina,['china'],2022-01-11 04:31:08,,in,inewsdotid,194.0,210254.0,"Jakarta, Indonesia",False,0,0,0,0,[],[],,,,
kerja korban alih pilih pragmatik damping pemrth lamban sibuk digrogoti eeh jalan,"['phk', 'pandemik_politik', 'kegiatan_seremonial']",2022-01-11 07:11:36,['quoted'],in,PelancongTua,1351.0,19119.0,somewhere in G earth,False,0,0,0,0,"['bappenasri', 'katadatacoid', 'tirtoid', 'bps_statistics', 'mendaglutfi', 'airlangga_hrt']",[],,,,
duga akibat diphk pria diri tembak kepala senapan angin,"['berita', 'news', 'jatim']",2022-01-11 08:04:43,,in,beritajatimcom,332.0,439873.0,Surabaya,False,0,0,0,0,[],[],,,,
gundul banjir partai korup indonesia,['bubarkanpdip'],2022-01-11 10:17:43,['quoted'],in,HamdanRingo,82.0,191.0,,False,2,0,0,0,[],[],,,,
harga pajak bensin hapus kritik langsung tangkap rakyat anggap sejahtera tka,['puasndasmu'],2022-01-11 12:28:54,,in,Muhammadsup9,1462.0,2983.0,,False,0,0,0,0,[],[],,,,
alpen food industry patuh hukum penuh tuntut buruh,['indonesiaboikotaice'],2022-01-11 15:23:45,,in,faris_hari,32.0,1902.0,,False,0,0,0,0,[],[],,,,
bismillah nyambung hidup kena covid kena,['lazadaid'],2022-01-12 13:06:30,['replied_to'],in,Djarotprasetyo3,296.0,744.0,,False,0,0,0,0,['lazadaid'],[],,,,
tega mem buruh adil buruh aice,['indonesiaboikotaice'],2022-01-13 02:09:25,,in,Ariffikriwahyu,211.0,713.0,,False,0,0,5,0,[],[],,,,
alpen food industry patuh hukum aice buruh hamil gugur kerja buruh,['indonesiaboikotaice'],2022-01-13 02:10:59,,in,faris_hari,32.0,1902.0,,False,0,0,0,0,[],[],,,,
negara kalah sebar issue sebar hoax tlhhina harkat martabat bangsa indonesia,['tangkaprockygerung'],2022-01-13 06:54:11,['replied_to'],in,PutraAn26054635,2586.0,3123.0,"Kota Bandung, Jawa Barat",False,1,1,0,0,"['antoniuscdn', '_riverheaven', 'listyosigitp', 'ccicpolri', 'divhumas_polri']",[],,,,
dinsos banyak orang lantar kerja rumah tangga sampit dinas sosial dinsos kabupaten kotawaringin timur kotim,['beritasampit'],2022-01-13 07:09:43,,in,beritasampit_id,1124.0,80500.0,"Kalimantan Tengah, Indonesia",False,0,0,0,0,[],[],,,,
buruh,['indonesiaboikotaice'],2022-01-13 09:56:25,['quoted'],in,adilah_yayah,243.0,947.0,,False,0,0,0,0,[],[],,,,
manis es seman nasib buruh usaha,['indonesiaboikotaice'],2022-01-13 10:01:34,,in,adilah_yayah,243.0,947.0,,False,0,0,0,0,[],[],,,,
hrpn ofc moga pandemi berakhiryang kerja layak moga baik hukum masyarakatpara orang tahta negara berhrp banget program edu sex basic pertolpertam lain,['bliminbeliin'],2022-01-13 15:20:47,['replied_to'],in,nnajdz,298.0,8447.0,any pronouns ,False,0,0,0,0,['bliblidotcom'],[],,,,
alpen food industri produksi ice cream aice hidup buruh hidup buruh lawan,['indonesiaboikotaice'],2022-01-13 23:39:49,,in,Suprisp3,27.0,32.0,,False,0,0,1,0,[],[],,,,
programcepatan vaksin covid gaung polritni sukses provokator sperti si aldo cc,['tangkappenyebarhoaxcovid'],2022-01-14 08:39:35,['replied_to'],in,godham5,11917.0,39130.0,"Bandung, Jawa Barat",False,0,0,0,0,"['billray2019', 'listyosigitp', 'divhumas_polri', 'jokowi', 'satgascovid19id', 'airlangga_hrt', 'puspen_tni']",[],,,,
gaji bayar karyawan vila bal kuras isi properti,"['sindonews', 'bukanberitabiasa']",2022-01-14 12:31:56,,in,SINDOnews,181.0,1061387.0,"Jakarta Pusat, DKI Jakarta",False,2,0,0,0,[],[],,,,
uu ciptaker usaha,['dukungetlepresisi'],2022-01-15 01:13:22,,in,EdwardCullen347,12.0,28922.0,Semarang,False,0,0,0,0,[],[],,,,
nixon laku curi badung sakit hati kena gaji bayar via,['bali'],2022-01-15 01:52:06,,in,tribunbalikanal,7.0,19704.0,Bali,False,0,0,0,0,['tribunbalikanal'],[],,,,
ambarrukmo plaza warung makan nama warung makan demen salah menu andal warung ayam cha do nyobain,['terbaru'],2022-01-16 08:01:38,,in,mojokdotco,489.0,132062.0,redaksi@mojok.co,False,24,14,12,0,[],[],,,,
sangon pelalawan makhkamah agung tolak kasasi ptsi,"['beritaterkini', 'news', 'inforiau', 'infoterkini', 'riauinfo']",2022-01-17 04:01:48,,in,InforiauCo,666.0,32536.0,Pekanbaru,False,0,0,0,0,[],[],,,,
aksi spontan damai abadi medan sumutmenolak birojasa outsourcing outsourcing birojasa,"['tolak', 'tolak', 'tolak']",2022-01-17 09:32:38,,in,SahabatSugi,73.0,86.0,"Kota Medan, Sumatera Utara",False,0,0,0,0,[],[],,,,
menaker jempol raffi ahmad kurang upah pandemi,"['kemenaker', 'raffiahmad']",2022-01-17 09:33:26,,in,heraldindo,684.0,77196.0,"Jakarta Selatan, DKI Jakarta",False,0,0,0,0,[],[],,,,
berkat beli,['stoic'],2022-01-17 13:36:49,['replied_to'],in,dimzaladim,90.0,14707.0,,False,0,1,0,0,['rj_osterreich'],[],,,,
juang ptalpen food industri produksi ice cream aice patuh hukum indonesia jokowi bantu alpen food industri,['indonesiaboikotaice'],2022-01-17 14:29:49,,in,Suprisp3,27.0,32.0,,False,0,1,1,0,[],[],,,,
nyayg ngancam polisi hadiah rp juta pantesan rp jtbolak nyarepresi intimidasi sukses,"['sersan_mencretmewek', 'ubed', 'twk']",2022-01-17 16:06:59,['quoted'],in,PelancongTua,1351.0,19119.0,somewhere in G earth,False,0,1,0,0,"['bkngoid', 'kempanrb']",[],,,,
harap moga jual online ramai pandemi untung tani indihome jaring kecewa,['tahunbarubersamaindihome'],2022-01-18 05:10:00,,in,rey0naldo,26.0,43.0,,False,0,0,0,0,[],[],,,,
dana darurat tutup butuh duga sakit celaka lain kantor cabang mnc bank dekat buka rekening wang aman jamin lps,['trulyyou'],2022-01-18 06:27:21,,in,Official_MNCTV,497.0,249097.0,INDONESIA,False,0,0,0,0,[],['PT Bank MNC Internasional Tbk.'],,,,
jebak debat nama kota negara nusantara pikir butuh ikn kondisi uang negara penuh utang bikin rakyat melarat bikin ikn guna rakyat jelata,['eh'],2022-01-18 09:00:27,['replied_to'],in,yanurdisah,1198.0,61125.0,Banten,False,2,1,0,0,['cnnindonesia'],[],,,,
umum warganet kena sinisini rapat program jkp nikmat februari hayo jkp coba absen reply,['solusikerjatenang'],2022-01-18 13:06:26,,in,jkp_id,2.0,88.0,Indonesia,False,2,3,1,0,[],[],,,,
jkp program kerja alami program lengkap bpjs ketenagakerjaan rencana laku februari manfaat,"['payrollservice', 'jkp', 'bpjsketenagakerjaan']",2022-01-19 08:36:06,,in,ebscentre,0.0,254.0,DKI Jakarta,False,0,0,0,0,[],[],,,,
badan akuntabilitas publik bap dpd ri gelar rapat dengar dapat rdp bahas tindak masalah bayar sangon dana pensiun eks karyawan merpati nusantara airlines,"['dpdri', 'dpdri']",2022-01-19 12:03:43,,in,bsoetcom,0.0,314.0,,False,0,0,0,0,[],[],,,,
ibrt pya rumah sllu kbnjiran pmilik rumh ksusahn dna utang numpuk orang blgpindh rumah dana utang jual rumah utang bangun rumh masuk tenggang jual rumahya orang,['referendumtolakibukotabaru'],2022-01-19 12:32:25,,in,freedomm_88,217.0,5293.0,,False,11,0,3,0,[],[],,,,
bangun pabrik padat karya korban anggur lulus sekolah tampung,"['tolakibukotabaru', 'tolakibukotabaru']",2022-01-19 12:57:55,['quoted'],in,KangTebe3,366.0,2005.0,Kota Jakarta Utara ,False,1,0,0,0,[],[],,,,
bangun pabrik padat karya korban anggur lulus,"['tolakibukotabaru', 'tolakibukotabaru']",2022-01-19 13:11:34,['retweeted'],in,iman100017,6653.0,39109.0,,False,1,0,0,0,['kangtebe3'],[],,,,
ngurus jakarta becus sok ibukota emang rakyat pade pentingin kota lihat nomor korban dapet kerja ape bom cuk,"['referendumtolakibukotabaru', 'referendumtolakibukotabaru']",2022-01-19 13:25:49,,in,firmanuciha84,1427.0,72783.0,sedang mengetik ,False,4,2,0,0,[],[],,,,
pindah ibukota perkara mudah historya manfaat guna sifat desak urgen segi aman bangsa pandemi samping utang negara rakyat kena,['referendumtolakibukotabaru'],2022-01-19 13:43:20,,in,pujiono74074850,1309.0,6836.0,,False,1,0,0,0,[],[],,,,
video kantor buka warmindo resep unik,"['video', 'ada', 'dari']",2022-01-19 20:34:14,,in,nolantv_berita,1.0,39607.0,,False,0,0,0,0,[],[],,,,
berita pemuda jawa timur tega bunuh kandung paman pemuda luka ayah kandung tetangga duga aksi picu depresi lantar anggur akibat kena,['liputan6sctv'],2022-01-20 04:29:48,,in,SCTV,462.0,240600.0,,False,0,0,1,0,[],['Liputan6'],,,,
mantap menteri badan usaha milik negara bumn erick thohir rombak tata kelola bisnis pln persero laku holding subholding terimakasih,['erickmajukanpln'],2022-01-20 08:00:00,,in,equoidquota095,111.0,418.0,Mexico City,False,0,0,0,0,['erickthohir'],[],,,,
informasi tarik nih menteri badan usaha milik negara bumn erick thohir rombak tata kelola bisnis pln persero laku holding subholding,['erickmajukanpln'],2022-01-20 08:00:00,,in,milderclang417,69.0,320.0,Mexico City,False,0,0,0,0,[],[],,,,
menteri badan usaha milik negara bumn erick thohir rombak tata kelola bisnis pln persero laku holding subholding baca taut berita,['erickmajukanpln'],2022-01-20 08:00:00,,in,raidagua327966,61.0,460.0,Mexico City,False,0,0,0,0,[],[],,,,
menteri bumn erick thohir rombak pln erick thohir jamin nama layoff pegawai,['erickmajukanpln'],2022-01-20 08:00:01,,in,MedanPunyaCinta,329.0,284.0,"New York, NY",False,0,0,0,0,[],[],,,,
bentuk holding subholding pln yakin tambah beban utang usaha induk,['erickmajukanpln'],2022-01-20 08:00:01,,in,SylisUniq,153.0,232.0,"Demak, Indonesia",False,0,0,0,0,[],[],,,,
erick thohir jamin ombak pln efisien holding subholding,['erickmajukanpln'],2022-01-20 08:00:02,,in,adyranifa2,121.0,3397.0,,False,2,0,0,0,[],[],,,,
menteri bumn rombak tata kelola bisnis pln persero laku holding subholding,['erickmajukanpln'],2022-01-20 08:00:02,,in,aheabuna,86.0,249.0,Bogor,False,0,0,0,0,['erickthohir'],[],,,,
menteri badan usaha milik negara bumn erick thohir rombak tata kelola bisnis pln persero laku holding subholding,['erickmajukanpln'],2022-01-20 08:00:02,,in,arabancothy991,50.0,264.0,Mexico City,False,0,0,0,0,[],[],,,,
ombak sistem tubuh pln jamin layoff pegawai bijak hitung,"['erickmajukanpln', 'erickmajukanpln']",2022-01-20 08:00:03,,in,Naga_Wicaksana2,5311.0,31105.0,,False,9,0,0,0,"['kemenbumn', 'erickthohir']",[],,,,
erick thohir nilai bisnis pln efisien holding subholding pasal fokus lini bisnis masingmasing,['erickmajukanpln'],2022-01-20 08:00:10,,in,NDUT_GEMES,2291.0,21372.0,,False,2,0,0,0,[],[],,,,
erick thohir rombak pln jamin layoff pegawai kereen erick thohir,['erickmajukanpln'],2022-01-20 08:00:58,,in,HerawanAriston1,945.0,4270.0,,False,5,0,0,0,[],[],,,,
rombak pln erick thohir jamin layoff pegawai,['erickmajukanpln'],2022-01-20 08:01:00,,in,Pemuda1987,1564.0,15234.0,,False,2,0,0,0,[],[],,,,
nilai bisnis pln efisien holding subholding pasal fokus lini bisnis masingmasing,['erickmajukanpln'],2022-01-20 08:01:34,,in,KardoSony,4808.0,15466.0,,False,1,0,0,0,['erickthohir'],[],,,,
dorong langsung subsidi masyarakat butuh libat perintah menteri bumn,['erickmajukanpln'],2022-01-20 08:03:00,,in,2nd_Halff,905.0,10194.0,Indonesia,False,1,0,0,0,[],[],,,,
rombak pln jamin layoff pegawai bentuk holding subholding pln dampak kurang pegawai bumn sektor listrik tambah karyawan,['erickmajukanpln'],2022-01-20 08:03:06,,in,Noviyanti1207,1001.0,22573.0,,False,14,3,3,0,['erickthohir'],[],,,,
holding subholding pln pln fokus lini bisnis efisien,['erickmajukanpln'],2022-01-20 08:03:07,,in,Bias_suara,1004.0,15977.0,Out there,False,5,0,0,0,['erickthohir'],[],,,,
dukung pulll menteri rombak pln erick thohir jamin layoff pegawai,['erickmajukanpln'],2022-01-20 08:03:45,,in,ByruBima,4929.0,172656.0,Jawa Timur,False,7,2,1,0,[],[],,,,
rombak pln jamin layoff pegawai,['erickmajukanpln'],2022-01-20 08:03:54,,in,Andracadabra1,4518.0,192419.0,"Kota Surabaya, Jawa Timur",False,3,2,1,0,['erickthohir'],[],,,,
rombak tata kelola bisnis pln persero laku holding subholding,['erickmajukanpln'],2022-01-20 08:05:52,,in,aryuma_ar,4705.0,24332.0,"Kota Palembang, Sumatera Selat",False,30,4,2,0,['erickthohir'],[],,,,
erick thohir jamin ombak pln efisien holding subholding ht,['erickmajukanpln'],2022-01-20 08:06:21,['retweeted'],in,Abdi_Nagari,1241.0,27214.0,,False,2,0,0,0,[],[],,,,
erick thohir rombak tata kelola bisnis pln persero laku holding subholding,['erickmajukanpln'],2022-01-20 08:07:34,,in,Ruhi_Ruhi17,6497.0,47109.0,,False,0,0,0,0,['erickthohir'],[],,,,
lanjut erick thohir,['erickmajukanpln'],2022-01-20 08:08:36,,in,BargoIwan,1398.0,26605.0,,False,4,1,0,0,[],[],,,,
bentuk holding subholding pln yakin tambah beban utang usaha induk holding subholding cari alternatif dana skema aksi korporasi,['erickmajukanpln'],2022-01-20 08:13:15,,in,Maira_616,7201.0,129943.0,"Sumatera Selatan, Indonesia",False,10,1,0,0,['erickthohir'],[],,,,
menteri erick thohir jamin ombak kurang pegawai pln sektor listrik tambah pegawai jamin holding subholding pln tambah hutang usaha induk,['erickmajukanpln'],2022-01-20 08:13:30,,in,Maira_616,7201.0,129943.0,"Sumatera Selatan, Indonesia",False,12,1,1,0,['erickthohir'],[],,,,
erick rombak pln jamin layoff pegawai,['erickmajukanpln'],2022-01-20 08:14:20,,in,mahkota43990861,2253.0,12041.0,,False,5,0,0,0,[],[],,,,
erick thohir rombak tata kelola bisnis pln persero,['erickmajukanpln'],2022-01-20 08:15:09,,in,16putiandamdewi,5717.0,9723.0,,False,2,0,0,0,[],[],,,,
bentuk subholding pln menteri bumn erick thohir pasti kurang karyawan,['erickmajukanpln'],2022-01-20 08:15:15,,in,JeonMyeo,2389.0,103408.0,"Medan, Sumut",False,2,0,0,0,[],[],,,,
rombak pln menteri bumn erick thohir jamin layoff pegawai,['erickmajukanpln'],2022-01-20 08:17:04,,in,Mimpita96,2754.0,32888.0,"Berastagi, Indonesia",False,2,0,0,0,[],[],,,,
bentuk holding subholding rangka transformasi pln kurang karyawan,['erickmajukanpln'],2022-01-20 08:18:20,,in,enop_ancha,8138.0,80686.0,"Sumatera Selatan, Indonesia",False,5,1,0,0,['erickthohir'],[],,,,
tranformasi pln wujud holding sub holding usaha setrum menteri bumn jamin layoff pegawai,['erickmajukanpln'],2022-01-20 08:18:22,,in,enop_ancha,8138.0,80686.0,"Sumatera Selatan, Indonesia",False,7,1,0,0,['erickthohir'],[],,,,
erick thohir jamin ombak kurang pegawai pln sektor listrik tambah pegawai,['erickmajukanpln'],2022-01-20 08:25:51,,in,Minnie_Imut,18385.0,66328.0,pinggir x Pesanggrahan ,False,1,0,0,0,['erickthohir'],[],,,,
bentuk holding subholding pln dampak kurang pegawai bumn sektor listrik tambah karyawan,['erickmajukanpln'],2022-01-20 08:43:16,,in,ExcelJosaphine,311.0,422185.0,Indonesia,False,3,0,1,0,['erickthohir'],[],,,,
erick thohir pilih jalan rombak pln usaha listrik maju bentuk holding subholding rombak erick emnjamin layoff pegawai,['erickmajukanpln'],2022-01-20 08:50:58,,in,Mpon_Mponn,494.0,45856.0,,False,4,0,1,0,[],[],,,,
erick thohir jamin layoff pegawai kait ombak pln,['erickmajukanpln'],2022-01-20 09:00:26,,in,how378_,13977.0,28065.0,,False,2,0,0,0,[],[],,,,
menteri bumn jamin ombak kurang pegawai pln sektor listrik tambah pegawai,['erickmajukanpln'],2022-01-20 09:08:55,,in,FelixMagath6,4376.0,27281.0,"Kota Surabaya, Jawa Timur",False,4,1,0,0,['erickthohir'],[],,,,
erick thohir nilai bisnis pln efisien holding,['erickmajukanpln'],2022-01-20 10:01:09,['retweeted'],in,Bias_suara,1004.0,15977.0,Out there,False,1,0,0,0,['2nd_halff'],[],,,,
dorong langsung subsidi masyarakat butuh libat perintah,['erickmajukanpln'],2022-01-20 10:01:12,['retweeted'],in,Bias_suara,1004.0,15977.0,Out there,False,1,0,0,0,['2nd_halff'],[],,,,
buruh dalim fideta kornesia panggil disnakertrans cianjur,"['beritalokal', 'harianjabar', 'beritajabar', 'disnakertranscianjur', 'phkburuhptdalimfidetakornesia']",2022-01-20 13:53:55,,in,jabarnewss,186.0,56875.0,Bandung,False,0,0,0,0,[],[],,,,
nilai bisnis pln efisien holding subholding pasal ha,['erickmajukanpln'],2022-01-20 19:15:12,['retweeted'],in,nurmadestya,5286.0,5419.0,,False,1,0,0,0,"['kardosony', 'erickthohir']",[],,,,
utang ratus juta libur kena,['taukayaraya'],2022-01-21 06:29:20,,in,momooi10,3.0,4761.0,,False,0,0,0,0,[],[],,,,
